feature,importance_gain,importance_split
price_ma_ratio_5,3071.0074501037598,65
ret_2,2566.55553150177,75
price_ma_ratio_10,2243.5304279327393,54
BBP_20_2.0_2.0,1700.0842418670654,41
rsi_14,1633.2640733718872,69
volatility_20,1024.0005445480347,67
rsi_28,964.7142524719238,59
atr_14,954.9733200073242,66
DMP_14,940.2348489761353,71
price_ma_ratio_48,914.5558567047119,53
volatility_5,794.156270980835,55
BBB_20_2.0_2.0,788.0080118179321,54
volatility_96,785.9766311645508,61
volatility_10,765.8686723709106,58
price_ma_ratio_96,752.0282192230225,52
volatility_48,751.7268390655518,57
price_ma_ratio_20,728.910496711731,27
DMN_14,675.665867805481,56
ret_1,636.623857498169,49
STOCHh_14_3_3,600.04847240448,46
MACD_12_26_9,570.7252540588379,43
ADXR_14_2,569.7477293014526,45
MACDh_12_26_9,566.8927087783813,43
number_of_trades,531.1825189590454,39
range_oc,521.7810020446777,26
volume_ma_ratio_96,515.0988683700562,38
ADX_14,485.8107805252075,37
ret_4,478.1183338165283,37
volume_ma_ratio_5,461.95052909851074,39
volume_ma_ratio_10,452.04389095306396,36
volume,447.01661014556885,35
ret_8,440.60151863098145,37
taker_buy_quote_asset_volume,422.5099697113037,33
volume_ma_ratio_48,418.07082080841064,33
MACDs_12_26_9,403.36253929138184,28
taker_buy_base_asset_volume,403.24285888671875,30
STOCHd_14_3_3,392.6347007751465,31
STOCHk_14_3_3,353.4185667037964,29
volume_ma_ratio_20,349.20858001708984,27
quote_asset_volume,345.6321392059326,27
range_hl,321.06429958343506,25
high,300.3838806152344,21
close,273.7281322479248,17
BBL_20_2.0_2.0,270.46943187713623,20
volume_chg_1,262.14749240875244,23
BBU_20_2.0_2.0,223.59088897705078,18
ema_50,191.72371006011963,16
sma_60,183.18063926696777,15
sma_20,176.1161708831787,14
trade_count_chg_1,170.1641492843628,15
ema_12,131.0039415359497,10
low,105.74789905548096,8
ema_26,98.4041395187378,9
open,70.13633918762207,6
BBM_20_2.0_2.0,11.252599716186523,1
